"","nodes"
"1","ACTL6A"
"2","AHCY"
"3","ANKRD22"
"4","ANLN"
"5","ANXA3"
"6","ARID3A"
"7","ASB9"
"8","ASCL2"
"9","ASF1B"
"10","ASNS"
"11","ASPM"
"12","ATAD2"
"13","AURKA"
"14","AURKB"
"15","AXIN2"
"16","AZGP1"
"17","BACE2"
"18","BMP7"
"19","BOP1"
"20","BUB1"
"21","BUB1B"
"22","C4BPB"
"23","CA9"
"24","CCL19"
"25","CCL20"
"26","CCL23"
"27","CCNA2"
"28","CCNB1"
"29","CCNB2"
"30","CCT2"
"31","CD46"
"32","CD55"
"33","CDC20"
"34","CDC25A"
"35","CDC25B"
"36","CDCA3"
"37","CDCA5"
"38","CDCA7"
"39","CDCA8"
"40","CDH3"
"41","CDK4"
"42","CDKN3"
"43","CDT1"
"44","CEL"
"45","CENPA"
"46","CENPF"
"47","CEP55"
"48","CFB"
"49","CHEK1"
"50","CHTF18"
"51","CKMT2"
"52","CKS1B"
"53","CKS2"
"54","CLDN1"
"55","CLDN2"
"56","COL7A1"
"57","CSE1L"
"58","CST1"
"59","CTSG"
"60","CXCL1"
"61","CXCL10"
"62","CXCL2"
"63","CXCL5"
"64","CXCL6"
"65","CXCL9"
"66","DCUN1D5"
"67","DDIT4"
"68","DDX21"
"69","DHCR7"
"70","DKC1"
"71","DNMT1"
"72","DPM1"
"73","DTL"
"74","E2F5"
"75","EBNA1BP2"
"76","EEF1E1"
"77","ENC1"
"78","EPHB3"
"79","EPSTI1"
"80","ETV4"
"81","EVPL"
"82","EXO1"
"83","EXOSC4"
"84","EXOSC5"
"85","F12"
"86","FASN"
"87","FBL"
"88","FOXA2"
"89","FOXQ1"
"90","GART"
"91","GDF15"
"92","GGH"
"93","GLO1"
"94","GNG4"
"95","GPT2"
"96","GPX2"
"97","GTPBP4"
"98","GZMB"
"99","HACD3"
"100","HMGB2"
"101","HMMR"
"102","HOXB8"
"103","HSPD1"
"104","HSPE1"
"105","HSPH1"
"106","IER3"
"107","IL11"
"108","IMPDH1"
"109","IMPDH2"
"110","IQGAP3"
"111","ITGA2"
"112","KCNN4"
"113","KIF11"
"114","KIF15"
"115","KIF20A"
"116","KIF2C"
"117","KIF4A"
"118","KLK10"
"119","KLK11"
"120","LAPTM4B"
"121","LIPG"
"122","LMNB2"
"123","LRP8"
"124","LY6G6D"
"125","LYAR"
"126","MAD2L1"
"127","MCM2"
"128","MCM3"
"129","MCM4"
"130","MCM7"
"131","MELK"
"132","MET"
"133","MLXIPL"
"134","MMP1"
"135","MMP10"
"136","MMP11"
"137","MMP12"
"138","MMP3"
"139","MMP7"
"140","MSX1"
"141","MTHFD1L"
"142","MTHFD2"
"143","MYC"
"144","NKD1"
"145","NMU"
"146","NUSAP1"
"147","NXT1"
"148","ODC1"
"149","OLFM4"
"150","PAICS"
"151","PBK"
"152","PCLAF"
"153","PHLDA1"
"154","POLQ"
"155","POLR1C"
"156","PPA1"
"157","PPAT"
"158","PRC1"
"159","PRKDC"
"160","PSAT1"
"161","PTTG1"
"162","PUM3"
"163","PUS1"
"164","PUS7"
"165","RAD51AP1"
"166","RANBP1"
"167","RCC2"
"168","RFC4"
"169","RNASEH2A"
"170","RNF43"
"171","RPA3"
"172","RPL29"
"173","RPLP0"
"174","RPP40"
"175","RPS15"
"176","RPS21"
"177","RPS7"
"178","RRS1"
"179","S100P"
"180","SALL4"
"181","SCD"
"182","SERPINB5"
"183","SHMT2"
"184","SLC2A1"
"185","SLC6A14"
"186","SLC7A5"
"187","SNRPB"
"188","SOX4"
"189","SRPK1"
"190","STC2"
"191","STIL"
"192","TACC3"
"193","TFDP1"
"194","TIMELESS"
"195","TK1"
"196","TOP2A"
"197","TPX2"
"198","TRIM29"
"199","TRIP13"
"200","TROAP"
"201","TTK"
"202","TYMS"
"203","UBE2C"
"204","UBE2T"
"205","WDR12"
"206","SNRPF"
"207","RTKN"
"208","UHRF1"
"209","S100A11"
"210","TEAD4"
"211","SOX9"
"212","TRIB3"
"213","NKD2"
"214","HKDC1"
"215","WDR4"
"216","DPEP1"
"217","MSLN"
"218","IL24"
"219","TRAP1"
"220","VSNL1"
"221","PAQR4"
"222","SPINK1"
"223","TNFRSF12A"
"224","IFITM1"
"225","TMEM97"
"226","SQLE"
"227","PCSK9"
"228","TTF2"
"229","MRPS17"
"230","PLAGL2"
"231","PLEK2"
"232","NPY"
"233","PROX1"
"234","ZIC2"
"235","NCOA7"
"236","PRDX4"
"237","IRX2"
"238","PLEKHG4"
"239","SLC12A2"
"240","KLK12"
"241","SLCO1B3"
"242","TCN1"
"243","TOMM34"
"244","SLCO4A1"
