"pathway"	"Normal"	"Tumor"
"M1"	0.750885737191493	-0.750885737191493
"M10"	-0.58529626536929	0.58529626536929
"M11"	-0.433357106751066	0.433357106751065
"M12"	-0.490665471037396	0.490665471037395
"M2"	-0.452047381409165	0.452047381409165
"M3"	-0.599905685397844	0.599905685397845
"M4"	-0.313626702838782	0.313626702838782
"M5"	-0.683225303732806	0.683225303732806
"M6"	-0.275313404050145	0.275313404050145
"M7"	0.283742519683691	-0.28374251968369
"M8"	-0.524055592665687	0.524055592665687
"M9"	0.526437110229645	-0.526437110229645
